Vendor_ID,Vendor_Name,Bank_Account,Address,Name,Email,Phone_Number
V00001,Jordan-Gray,337972288532,New Mexico 667543,Michael Harris,wstout@hanson.com,1606712810
V00002,Booth PLC,868599650168,Kansas 820236,Peter Davis,davidlawrence@turner.org,1010000000
V00007,James-Perez,427593755047,Vermont 406110,Brendan Smith,steelemariah@james.biz,5696570437
V00008,"Patterson, Gallagher and Long",222425194945,Indiana 531032,Gary Dixon,collinsian@yahoo.com,3905302590
V00009,"Bennett, Mann and Morris",827215031677,Utah 937847,Kimberly Moyer,michaelhuff@hotmail.com,7414256493
V00010,Lane-Morrison,862547900769,Washington 578240,Alice Rogers,mcphersonrobert@hotmail.com,7825955472
V00011,Kim-Richardson,514323437434,New Jersey 025108,Joshua Schmidt,nathan36@walker.com,7043624904
V00012,Weiss-Gallagher,568127835407,New Jersey 983176,Jillian Thomas,shannonzhang@carr.com,8548297102
V00013,Rios LLC,026967947410,Maryland 761618,Kenneth Fields,martinezrebecca@flores.org,5921426556
V00014,"Scott, Jones and Richardson",549551103650,Maryland 818370,Abigail Rodriguez,jimmy63@peters.com,7852756819
V00015,Walton-Richards,863259583213,Montana 624915,Shelly Gallagher,obentley@anderson-nicholson.info,2247811165
V00016,Lucas Ltd,421898923557,Utah 960657,Jonathan Byrd,charlesdouglas@parker.com,2773016345
V00017,"Forbes, Fitzpatrick and Henson",633784547600,Wyoming 396223,Brandon Hart,stephanie53@santiago.com,6038683384
V00018,Thompson and Sons,687645994928,New Mexico 111581,Bridget Orr,arichards@hotmail.com,0262283238
V00019,Hartman-Brown,471302579601,Oregon 064933,Lisa Richardson,lynchmegan@jones.com,7912427856
V00020,Lee Ltd,885164152839,Idaho 979357,Kyle Lopez,kolson@moon-strickland.net,76
V00021,Hawkins-Gonzalez,806662048455,Utah 182770,Willie Garner,justinbennett@walker.com,8959179333
V00022,"Johnson, Vasquez and Martin",061994302651,Kansas 885059,Theresa Hill,mbaker@yahoo.com,1418849827
V00023,Flores-Sanchez,165885837489,Missouri 465974,Amber Horn,kblackburn@webb.info,1090987239
